Date,PAYEMS,OPHNFB,PNFI
2018-01-01,147998,147998.000,2810.32
2018-04-01,148707,148707.000,2846.52
2018-07-01,149219,149219.000,2870.37
2018-10-01,149650.67,149650.670,2898.68
2019-01-01,150139.67,150139.670,2932.41
2019-04-01,150684.33,150684.330,3000.78
2019-07-01,151157.33,151157.330,3031.12
2019-10-01,151641,151641.000,3010.3
2020-01-01,151739.33,151739.330,2965.48
2020-04-01,133711.67,133711.670,2736.49
2020-07-01,140614.67,140614.670,2852.51
2020-10-01,142580,142580.000,2938.78
2021-01-01,143527,143527.000,3002.81
2021-04-01,145157,145157.000,3078.4
2021-07-01,147239,147239.000,3096.19
2021-10-01,149185.33,149185.330,3171.56
2022-01-01,150742.33,150742.330,3314.96
2022-04-01,151965.33,151965.330,3438.72
2022-07-01,153282.67,153282.670,3547.61
2022-10-01,154153,154153.000,3636.96
2023-01-01,155012.33,155012.330,3756.58
2023-04-01,155624,155624.000,3854.27
2023-07-01,156176.33,156176.330,3871.64
2023-10-01,156703.67,156703.670,3941.34
2024-01-01,157279,157279.000,3963.75
2024-04-01,157792.67,157792.670,4012.41
2024-07-01,158130.33,158130.330,4069.19
2024-10-01,158639.67,158639.670,4046.39
2025-01-01,159161,159161.000,4137.82
2025-04-01,159441.33,159441.330,4207.51
